title,cuisine,city,address,rating
Colicchio & Sons Taproom,American New,Manhattan,85 Tenth Ave.,4.0
Co-Op Food & Drink,American New,Manhattan,107 Rivington St.,2.5
Costata,Italian,Manhattan,206 Spring St.,4.0
Craftbar,American New,Manhattan,900 Broadway,3.5
Crema Restaurante,Mexican,Manhattan,111 W. 17th St.,3.5
Crossroads American Kitchen and Bar,American New,Manhattan,"New York Marriott Marquis, 1535 Broadway, 8th fl., lobby level",3.0
Darbar,Indian,Manhattan,152 E. 46th St.,3.5
Darbar Grill,Indian,Manhattan,157 E. 55th St.,4.0
David Burke at Bloomingdale's,American New,Manhattan,1000 Third Ave.,3.0
David Burke Kitchen,American New,Manhattan,23 Grand St.,3.5
Davio's Northern Italian Steakhouse,Steakhouse,Manhattan,447 Lexington Ave.,4.0
DB Bistro Moderne,French,Manhattan,55 W. 44th St.,3.5
DBGB Kitchen and Bar,French,Manhattan,299 Bowery,3.5
Delmonico's Kitchen,American New,Manhattan,207 W. 36th St.,3.5
Delmonico's Restaurant,Steakhouse,Manhattan,56 Beaver St.,3.5
Dévi,Indian,Manhattan,8 E. 18th St.,3.5
Docks Oyster Bar,Seafood,Manhattan,633 Third Ave.,3.5
Dos Caminos Meatpacking District,Mexican,Manhattan,675 Hudson St.,3.5
Dos Caminos Park Avenue,Mexican,Manhattan,373 Park Ave. South,3.5
Dos Caminos SoHo,Mexican,Manhattan,475 W. Broadway,3.5
Dos Caminos Third Avenue,Mexican,Manhattan,825 Third Ave.,3.0
Dovetail,American New,Manhattan,103 W. 77th St.,4.0
E&E Grill House,American New,Manhattan,233 W. 49th St.,4.5
East & West,American New,Manhattan,"Yotel New York at Times Square West, 570 Tenth Ave., 4th fl.",3.5
Ed's Chowder House,Seafood,Manhattan,"44 W. 63rd St., 2nd fl.",3.0
El Toro Blanco,Mexican,Manhattan,257 Sixth Ave.,3.5
El Vez,Mexican,Manhattan,259 Vesey St.,3.5
Empellón Cocina,Mexican,Manhattan,105 First Ave.,3.5
Empellón Taqueria,Mexican,Manhattan,230 W. 4th St.,3.5
Empire Steak House - West 54th Street,Steakhouse,Manhattan,237 W. 54th St.,4.5
En Japanese Brasserie,Japanese,Manhattan,435 Hudson St.,4.0
Esca,Seafood,Manhattan,402 W. 43rd St.,3.5
Estiatorio Milos,Seafood,Manhattan,125 W. 55th St.,4.0
Etcetera Etcetera,Italian,Manhattan,352 W. 44th St.,4.0
Felice 15 Gold Street,Italian,Manhattan,15 Gold St.,3.5
Felice 83,Italian,Manhattan,1593 First Ave.,3.5
Felidia,Italian,Manhattan,243 E. 58th St.,4.0
Fig & Olive - Downtown,Mediterranean,Manhattan,420 W. 13th St.,4.0
Fig & Olive - Midtown,Mediterranean,Manhattan,10 E. 52nd St.,4.0
